Punto vendita,Data,Codice,Nome,Quantità,Prezzo,Totale
CAFEZAL_PREMUDA,2023-12-31 12:16:13,2069,COOKIE,1,2.5,2.5
CAFEZAL_PREMUDA,2023-12-31 12:16:13,1002,CAPPUCCINO OAT,1,2.5,2.5
CAFEZAL_PREMUDA,2023-12-31 12:16:13,2271,SERVIZIO,2,0.5,1
CAFEZAL_SOLFERINO,2023-12-31 12:11:21,1014,GARIBALDI,1,1.5,1.5
CAFEZAL_PREMUDA,2023-12-31 12:10:21,5394,PEACE TRAIN,2,6,12
CAFEZAL_PREMUDA,2023-12-31 12:10:21,2271,SERVIZIO,2,0.5,1
CAFEZAL_CSO_MAGENTA,2023-12-31 12:03:01,5015,CAPPUCCINO DEK,4,2.8,11.2
CAFEZAL_CSO_MAGENTA,2023-12-31 12:03:01,5060,CROISSANT VUOTO,1,1.5,1.5
CAFEZAL_SOLFERINO,2023-12-31 12:00:57,1069,COOKIE,1,2.5,2.5
CAFEZAL_SOLFERINO,2023-12-31 12:00:57,1081,TOAST,1,7,7
CAFEZAL_SOLFERINO,2023-12-31 12:00:57,1022,CAFFE LATTE,1,4,4
CAFEZAL_SOLFERINO,2023-12-31 12:00:57,1003,FLAT WHITE,1,3.8,3.8
CAFEZAL_PREMUDA,2023-12-31 11:58:00,2201,CAPPUCCINO SINGLE ORIGIN,1,2.5,2.5
CAFEZAL_PREMUDA,2023-12-31 11:58:00,2202,FLAT WHITE SINGLE ORIGIN,1,4.5,4.5
CAFEZAL_PREMUDA,2023-12-31 11:58:00,2270,COPERTO,2,1.5,3
CAFEZAL_PREMUDA,2023-12-31 11:58:00,5314,CAFEZAL TOAST,1,10.5,10.5
CAFEZAL_PREMUDA,2023-12-31 11:58:00,5316,SALMON AVO TOAST,1,11.5,11.5
CAFEZAL_PREMUDA,2023-12-31 11:58:00,5324,GRILLED CHEESE SANDWICH,1,8.5,8.5
CAFEZAL_PREMUDA,2023-12-31 11:58:00,2092,"ACQUA NATURALE 0,5L MICROFILTER",1,1.8,1.8
CAFEZAL_PREMUDA,2023-12-31 11:56:09,2141,BRIOCHE MARMELLATA,1,2.5,2.5
CAFEZAL_PREMUDA,2023-12-31 11:56:09,1002,CAPPUCCINO OAT,1,2.5,2.5
CAFEZAL_SOLFERINO,2023-12-31 11:55:23,1021,SOIA/OAT,1,0.5,0.5
CAFEZAL_SOLFERINO,2023-12-31 11:55:23,1201,CAPPUCCINO SINGLE ORIGIN,1,3,3
CAFEZAL_SOLFERINO,2023-12-31 11:55:02,1021,SOIA/OAT,1,0.5,0.5
CAFEZAL_SOLFERINO,2023-12-31 11:55:02,2001,CAPPUCCINO,1,2.5,2.5
CAFEZAL_SOLFERINO,2023-12-31 11:52:37,5313,MIGNON,1,1.8,1.8
CAFEZAL_SOLFERINO,2023-12-31 11:52:37,1005,CORTADO,1,2.8,2.8
CAFEZAL_SOLFERINO,2023-12-31 11:52:37,1139,BRIOCHE CIOCCO NOCCIOLE,1,2.8,2.8
CAFEZAL_SOLFERINO,2023-12-31 11:52:37,2001,CAPPUCCINO,2,2.5,5
CAFEZAL_SOLFERINO,2023-12-31 11:47:28,5341,CASTANHA 250GR,3,16,48
CAFEZAL_SOLFERINO,2023-12-31 11:47:28,1056,GARIBALDI 250GR,2,12.9,25.8
CAFEZAL_SOLFERINO,2023-12-31 11:42:32,1003,FLAT WHITE,1,3.8,3.8
CAFEZAL_SOLFERINO,2023-12-31 11:42:32,1021,SOIA/OAT,1,0.5,0.5
